"fecha","San.Miguel","Hacienda.Cochas","La.Quinua","Wayllapampa","Huamanga","Allpachaca"
"05-1999",4.34,4.65,1.19,0.29,0.8,3.14
"06-1999",0.89,1.18,0.55,0.36,1.67,2.12
"07-1999",2.46,2.52,2.03,1.91,2.09,2.32
"08-1999",0.39,0.48,0.12,0.05,0.17,0.54
"09-1999",18,17.08,30.7,36.12,26.04,17.79
"10-1999",11.78,12.86,12.14,11.73,13.14,14.45
"11-1999",30.68,31.7,59.9,73.74,63.95,42.42
"12-1999",58.26,70.58,43.4,51.84,48.08,49.4
"01-2000",54.5,71.12,81.55,85.55,88.45,71.74
"02-2000",57.91,64.75,122.24,160.48,137.94,107.49
"03-2000",60.81,69.41,126.1,150.6,119.57,80.08
"04-2000",12.59,10.98,12.88,12.63,11.44,8.1
"05-2000",9.28,7.41,16.24,18.71,14.07,6.53
"06-2000",3.9,3.97,8.51,9.71,12.21,5.43
"07-2000",5.95,4.91,16.76,21.14,16,5.08
"08-2000",4.15,4.43,4.76,6.05,5.09,4.52
"09-2000",5.58,5.63,5.37,5.16,5.34,5.59
"10-2000",20.01,20.23,23.49,27,29.52,22.22
"11-2000",10.19,11.36,11.71,10.6,11.6,18.23
"12-2000",83.52,87.19,77.06,91.31,84.09,66.16
"01-2001",81.19,97.24,210.99,250.6,214.31,112.4
"02-2001",41.81,49.45,93.2,133.22,108.66,66.49
"03-2001",50.61,59.21,78.15,102.87,82.12,78.1
"04-2001",11.32,10.71,16.68,19.45,17.44,13.54
"05-2001",20.03,14.34,28.74,30.84,22.74,10.57
"06-2001",1.88,1.8,3.5,3.75,3.44,1.83
"07-2001",8.76,7.52,21.76,30.38,22.52,9.5
"08-2001",7.67,7.4,13.05,15.78,15.37,6.11
"09-2001",9.46,8.73,15.45,17.24,15.25,9.33
"10-2001",22.52,21.45,32.32,37.15,31.04,16.88
"11-2001",33.17,35.51,56.51,61.51,54.06,46.22
"12-2001",49.56,54.97,30.45,34.64,34.86,40.11
"01-2002",31.68,42.92,68.61,80.65,80.65,46.66
"02-2002",61.27,71.19,99.29,117.23,108.81,98.85
"03-2002",71.83,84.71,112.16,160.5,153.27,106
"04-2002",18.3,16.39,28.01,29.84,27.98,20.17
"05-2002",6.13,5.53,14.31,14.83,10.28,6.28
"06-2002",1.55,1.75,1.66,1.87,1.63,1.55
"07-2002",12.34,12.21,22.46,28.79,24.8,13.58
"08-2002",5.1,4.69,11.98,15.88,13.67,7.06
"09-2002",15.45,14.27,24.19,26.48,22.93,15.9
"10-2002",16.82,17.82,20.09,20.14,20.81,17.38
"11-2002",26.39,29.26,40.81,41.13,34.28,39.2
"12-2002",78.34,86.66,63.02,75.95,83.86,62.71
